URL_NUM,URL_NAME,NLP_READING_TIME_IN_MINS_212WPM,BSOUP_NUMWORDS,NLP_NUMWORDS,META_YEARS_SINCE_FIRST_PUBLISHED,META_YEARS_SINCE_LAST_MODIFIED,NLP_FIRST_PUBLISHED_DATETIME,META_FIRST_PUBLISHED_DATE,META_LAST_MODIFIED_DATETIME,NLP_KEYWORDS,TITLE_TAG_VALUE,META_DESCRIPTION
url194,https://holycowvegan.net/creamy-polenta-wild-mushrooms/,3.9,816,818,1.778,0.044,2018-02-22T08:00:44,2018-02-22T08:00:44,2019-11-17T18:27:39,add - water - dry - mushroom - creamy - polenta - mushrooms - wild - tamari - cup,Creamy Polenta with Wild Mushrooms | Holy Cow! Vegan Recipes,"Creamy Polenta with Wild Mushrooms is an easy, elegant dish to serve family and friends or cook for yourself when you feel like an indulgence without too much work -- or calories. The creamy, cheesy polenta is topped with a textured, flavorful wild mushroom gravy that's to die for. A gluten-free, vegan recipe."
url195,https://holycowvegan.net/creamy-roasted-cauliflower-and-lima-bean-stew/,2.6,569,542,1.427,0.496,2018-06-30T09:00:55,2018-06-30T09:00:55,2019-06-05T17:08:53,bean - g - roasted - lima - recipe - stew - creamy - recipes - beans - cauliflower - pepper,"Creamy Roasted Cauliflower and Lima Bean Stew | Holy Cow! Vegan Recipes Easy, tasty vegan recipes","Creamy Roasted Cauliflower and Lima Bean Stew, minimally flavored with garlic and summery herbs. Vegan, soy-free, gluten-free and nut-free recipe."
url196,https://holycowvegan.net/creamy-roasted-eggplant-and-tofu-dip/,1.9,426,413,10.564,2.611,2009-05-13T19:15:00,2009-05-13T19:15:00,2017-04-24T16:47:34,tsp - silken - dip - eggplant - veggie - vegan - roasted - tofu - creamy - 14 - garlic,Creamy Roasted Eggplant And Tofu Dip | Holy Cow! Vegan Recipes,"This super delicious and super easy eggplant dip combines roasted eggplant with silken tofu and spices. Vegan, nut-free and gluten-free recipe."
url197,https://holycowvegan.net/creamy-tahini-butternut-squash-pasta/,3.7,813,779,1.123,0.901,2018-10-19T09:00:54,2018-10-19T09:00:54,2019-01-08T17:03:56,tahini - add - butternut - peas - sauce - recipe - creamy - cubes - squash - pasta - pepper,"Creamy Tahini Butternut Squash Pasta | Holy Cow! Vegan Recipes Easy, tasty vegan recipes","A creamy, delicious Tahini Butternut Squash Pasta for a quick weeknight dinner. A vegan, soy-free and nut-free recipe. Sauce is gluten-free."
url198,https://holycowvegan.net/creamy-tofu-kofta-curry/,1.1,616,237,10.008,0.532,2009-12-02T01:50:00,2009-12-02T01:50:00,2019-05-23T18:21:07,vegan - curry - huge - recipe - malai - fan - tofu - creamer - recipes - thanksgiving - dish - kofta - ive,Vegan Tofu Kofta Curry | Holy Cow! Vegan Recipes,"A recipe for a creamy vegan kofta curry made with tofu, vegetables, and cashewnuts. This is a vegan, gluten-free recipe."
url199,https://holycowvegan.net/creamy-vegan-mashed-potatoes/,4.7,1038,1005,1.107,0.375,2018-10-25T10:01:04,2018-10-25T10:01:04,2019-07-19T16:34:05,mashed - youre - vegan - potatoes - g - potato - recipe - minutes - creamy - water,"Creamy Vegan Mashed Potatoes Recipe | Holy Cow! Vegan Recipes Easy, tasty vegan recipes","A recipe for easy and addictive Creamy Vegan Mashed Potatoes. The spuds are mashed, then whipped until they are fluffy and soft as clouds. Vegan, soy-free and gluten-free."
url200,https://holycowvegan.net/creamy-vegan-orzo-risotto/,4.4,966,935,2.466,0.614,2017-06-16T09:00:18,2017-06-16T09:00:18,2019-04-23T20:00:35,vegan - sauce - risotto - recipe - brussels - white - creamy - orzo - pasta - sprouts - eat,Creamy Vegan Orzo Risotto with Brussels Sprouts | Holy Cow! Vegan Recipes,"This creamy vegan Orzo Risotto with Brussels Sprouts is an easy and quick weeknight dinner recipe. Vegan, soy-free, easily made gluten-free."
url201,https://holycowvegan.net/crepes-with-orange-cream-cheese-and/,3.0,626,630,8.808,0.849,2011-02-13T20:34:00,2011-02-13T20:34:00,2019-01-27T09:58:28,valentines - cream - day - vegan - crepes - syrup - crepe - cup - orange - cheese - apricotwalnut,Vegan Crepes With Orange Cream Cheese And Apricot-Walnut Syrup | Holy Cow! Vegan Recipes,Decadent vegan crepes stuffed with orange cream cheese and drizzled with an apricot walnut syrup are perfect for breakfast or brunch.
url202,https://holycowvegan.net/crescent-rolls/,3.0,647,631,9.932,0.022,2009-12-30T03:45:00,2009-12-30T03:45:00,2019-11-25T16:20:01,crescent - dough - stand - yeast - vegan - roll - oil - minutes - rolls - oven,Vegan Crescent Rolls | Holy Cow! Vegan Recipes,"Soft, pillowy vegan crescent rolls. This recipe makes 16 rolls so there's enough to tear into and eat now and save for later."
url203,https://holycowvegan.net/crispy-baked-potato-vadas-theyre-fat-free/,5.3,1144,1120,4.277,0.011,2015-08-25T08:00:53,2015-08-25T08:00:53,2019-11-29T22:30:22,indian - leaves - store - potato - g - baked - curry - growing - oil - plant - vadas - crispy - leaf,"Crispy Baked Potato Vadas, No Oil | Holy Cow! Vegan Recipes",Crispy and yet fat-free potato vadas (patties) made with a few simple spices and aromatic curry leaves.
url204,https://holycowvegan.net/crispy-pongal-cakes-with-sweet-potato/,6.1,1307,1303,6.879,0.553,2013-01-17T12:30:00,2013-01-17T12:30:00,2019-05-15T10:29:29,add - tsp - sweet - potato - cakes - oil - pongal - gotsu - dal - mins - stir - cook,Pongal Cakes with Sweet Potato Gotsu,"A delicious spin on pongal-gotsu, a popular Tamil combination. I make crispy pongal cakes with leftover rice, and a nutritious sweet potato pongal."
url205,https://holycowvegan.net/crispy-samosa-pastry-squares-with-puff-pastry-sheets/,6.0,1290,1282,0.225,0.063,2019-09-12T09:17:19,2019-09-12T09:17:19,2019-11-10T18:42:27,sheets - tsp - potato - squares - puff - snack - samosa - crispy - samosas - cut - pastry - filling,Crispy Samosa Pastry Squares with Puff Pastry Sheets | Holy Cow! Vegan Recipes,These crispy Samosa Pastry Squares are a fun and easy way to enjoy the Indian potato-stuffed snack without all the mess and hassle of deep-frying.
url206,https://holycowvegan.net/crockpot-black-eyed-peas-stew/,2.7,590,581,5.847,2.132,2014-01-29T20:56:40,2014-01-29T20:56:40,2017-10-16T18:19:17,slow - 12inch - blackeyed - peas - 15 - cooker - crockpot - vegetable - vegan - recipe - stew - cut,Slow Cooker Black-Eyed Peas Stew - Holy Cow! Fat-Free Vegan Recipes,A recipe for a healthy and flavorful -- and fat-free -- slow cooker black-eyed peas stew that takes less than 15 minutes of prep. Weeknight comfort food.
url207,https://holycowvegan.net/crockpot-sambar/,2.8,612,598,5.515,0.912,2014-05-30T08:00:25,2014-05-30T08:00:25,2019-01-04T18:14:57,cooking - really - lentils - sambar - crockpot - cook - recipe - need - fatfree - perfect - cup,Fat-Free Crockpot Sambar for Two | Holy Cow! Vegan Recipes,"An easy recipe for a Crockpot Sambar, a south Indian style dal with veggies for one, or two. This recipe is also fat-free but it is full of flavor."
url208,https://holycowvegan.net/crumbly-pistachio-cardamom-shortbread/,2.4,508,501,11.841,0.167,2008-02-02T19:45:00,2008-02-02T19:45:00,2019-10-03T21:09:18,pistachio - cookies - tsp - vegan - g - shortbread - cookie - powder - cardamom - cup,Pistachio Cardamom Shortbread Cookies | Holy Cow! Vegan Recipes,A recipe for delicious and wholegrain pistachio cardamom shortbread cookies that just melt in your mouth and are perfumed with cardamom.
url209,https://holycowvegan.net/crunchy-bliss-masala-vadai-with-avocado/,2.8,580,590,11.638,0.11,2008-04-16T17:45:00,2008-04-16T17:45:00,2019-10-24T21:14:51,batter - add - avocadotofu - ingredients - vegan - vadai - masala - oil - traditional - chutney,Masala Vadai | Holy Cow! Vegan Recipes,No meta description found.
url210,https://holycowvegan.net/crunchy-chickpea-roasted-potatoes-no-fat/,3.4,767,730,2.737,0.238,2017-03-09T10:17:03,2017-03-09T10:17:03,2019-09-07T20:59:57,hot - tsp - potatoes - roasted - flour - seeds - minutes - chickpea - mix - fat - spices - crunchy,"Crunchy Chickpea Roasted Potatoes, No Fat | Holy Cow! Vegan Recipes","These crunchy chickpea roasted potatoes are tossed in a savory mix of chickpea flour and spices, and roasted in a piping hot oven."
url211,https://holycowvegan.net/crusty-italian-bread/,3.3,705,706,5.986,0.904,2013-12-09T19:10:19,2013-12-09T19:10:19,2019-01-07T17:52:22,dough - vegan - warm - italian - oven - loaf - loaves - crusty - water - bowl - place - bread,Crusty Italian Bread | Holy Cow! Vegan Recipes,"A recipe for a crusty Italian bread with a soft, airy crumb. This recipe makes two loaves, so you will have plenty to last a few days...or to feed a crowd."
url212,https://holycowvegan.net/crusty-sourdough-dinner-rolls-no-knead-and-no-added-yeast/,3.1,687,663,1.452,0.597,2018-06-21T09:00:30,2018-06-21T09:00:30,2019-04-29T16:35:03,dough - added - ingredients - yeast - g - recipe - rise - rolls - noknead - crusty - sourdough - dinner - starter,"Crusty Sourdough Dinner Rolls, no-knead, no added yeast | Holy Cow! Vegan Recipes","These Crusty Sourdough Dinner Rolls are no-knead and have no added yeast. Dunk into soup or stew, or use as a burger bun. Vegan, soy-free, nut-free recipe."
url213,https://holycowvegan.net/cucumber-mint-subzi/,2.0,431,426,11.384,0.101,2008-07-18T19:15:00,2008-07-18T19:15:00,2019-10-27T17:52:48,subzi - leaves - mint - tbsp - curry - green - recipe - garden - fresh - cucumbers - cucumber - cucumbermint,Cucumber-Mint Subzi | Holy Cow! Vegan Recipes,No meta description found.
url214,https://holycowvegan.net/cucumber-raita-soy-free/,2.7,584,582,3.762,0.452,2016-02-29T12:21:55,2016-02-29T12:21:55,2019-06-21T18:15:14,spicy - indian - yogurt - soyfree - vegan - g - green - raita - cucumber - version - mg,"Vegan Cucumber Raita, Soy-Free | Holy Cow! Vegan Recipes","A fresh, clean, green vegan Cucumber Raita made with cashew ""yogurt"" and free of soy. This is also a great salad dressing."
url215,https://holycowvegan.net/cucumber-sandwiches/,4.0,732,844,10.397,0.499,2009-07-13T17:46:00,2009-07-13T17:46:00,2019-06-04T17:29:30,wanted - vegan - used - stuff - sandwiches - slices - cucumber - sandwich - butter - bread - simple,Cucumber Sandwiches | Holy Cow! Vegan Recipes,No meta description found.
url216,https://holycowvegan.net/curried-acorn-squash/,2.7,565,569,5.167,2.688,2014-10-04T08:00:39,2014-10-04T08:00:39,2017-03-27T10:41:03,add - tsp - curried - coconut - ones - coriander - acorn - cumin - squash - mins - cook,Curried Acorn Squash | Holy Cow! Vegan Recipes,"A belly-warming, gingery Curried Acorn Squash recipe. The creamy coconut sauce with a few simple spices will have you begging for more."
url217,https://holycowvegan.net/curried-cabbage-with-whole-masoor/,3.0,640,637,9.77,0.532,2010-02-27T13:56:00,2010-02-27T13:56:00,2019-05-23T17:52:00,really - lentils - sambar - curried - g - cabbage - onions - recipes - masoor - powder - cook,Curried Cabbage - Holy Cow!,A very simple and healthy weeknight recipe for curried cabbage dal with whole masoor lentils and a few simple spices.
url218,https://holycowvegan.net/curried-carrot-salad/,4.5,937,954,0.342,0.23,2019-07-31T09:07:36,2019-07-31T09:07:36,2019-09-10T20:52:32,indian - leaves - red - curried - carrots - g - tomatoes - carrot - tempering - mustard - cherry - pepper - salad - style,"Curried Carrot Salad, Indian Style | Holy Cow! Vegan Recipes","A summery Indian style Curried Indian Carrot Salad with cherry tomatoes and turmeric. Vegan, gluten-free, soy-free and nut-free."
url219,https://holycowvegan.net/curried-chickpeas-bowl-turmeric-rice-garlicky-chard/,4.7,1026,988,2.781,0.359,2017-02-21T14:09:40,2017-02-21T14:09:40,2019-07-25T17:22:03,chard - add - tsp - garlicky - curried - coconut - turmeric - minutes - chickpeas - rice - bowl,Curried Chickpeas Bowl with Turmeric Rice and Garlicky Chard | Holy Cow! Vegan Recipes,"A healthful bowl of curried chickpeas with onions, tomatoes, and spices, served with some fragrant turmeric rice and garlicky sauteed Swiss chard."
url220,https://holycowvegan.net/curried-coconut-tofu-wraps/,2.8,602,603,4.29,0.011,2015-08-20T08:00:01,2015-08-20T08:00:01,2019-11-29T22:44:37,tsp - curried - g - coconut - curry - tomatoes - tofu - wraps - powder - wrap - mix,Curried Coconut Tofu Wraps | Holy Cow! Vegan Recipes,Tofu marinaded in some ginger-garlic paste and dunked into coconut milk with curry powder is one of my favorite things. It's divine in a wrap.
url221,https://holycowvegan.net/curried-jackfruit-burger/,3.2,1045,670,0.468,0.419,2019-06-15T08:00:20,2019-06-15T08:00:20,2019-07-03T16:21:10,love - burgers - texture - burger - youre - curried - recipe - jackfruit - roast - usually,Curried Jackfruit Burger | Holy Cow! Vegan Recipes,"This Curried Jackfruit Burger will make you a fan -- and a star at your dinner table. It's vegan, kid-friendly and free of gluten, soy, and nuts."
url222,https://holycowvegan.net/curried-karela-bitter-gourd/,3.3,694,697,10.386,0.488,2009-07-17T16:34:00,2009-07-17T16:34:00,2019-06-08T21:12:17,add - tsp - tbsp - curried - bitter - recipe - tamarind - gourd - possibly - karela - delicious,Curried Karela (Bitter Gourd) | Holy Cow! Vegan Recipes,No meta description found.
url223,https://holycowvegan.net/curried-lentil-hand-pies/,4.2,905,901,5.46,0.923,2014-06-19T08:00:03,2014-06-19T08:00:03,2018-12-31T09:15:12,hand - sheets - lentils - curried - vegan - minutes - recipe - phyllo - pies - filling - lentil,Curried Lentil Hand Pies | Holy Cow! Vegan Recipes,A simple and easy recipe for delicious and meaty -- but totally vegan -- Curried Lentil Hand Pies. This is an adult- and kid-friendly recipe.
url224,https://holycowvegan.net/curried-tempeh-quinoa-breakfast-hash/,2.7,624,578,2.195,0.921,2017-09-23T07:00:56,2017-09-23T07:00:56,2019-01-01T22:11:12,hash - add - sweet - curried - tempeh - potatoes - breakfast - white - quinoa - beans,Curried Tempeh Quinoa Breakfast Hash | Holy Cow! Vegan Recipes,"Nothing says good morning like a bowl of Curried Tempeh Quinoa Breakfast Hash with sweet potatoes and beans. Oil-free, gluten-free, nut-free recipe."
url225,https://holycowvegan.net/curry-glazed-carrot-tofu-tacos/,2.1,792,442,3.879,2.373,2016-01-17T10:04:19,2016-01-17T10:04:19,2017-07-20T19:27:49,india - indian - glaze - opie - tofu - carrot - post - party - stuffed - curryglazed - tacos - know,Curry-Glazed Carrot Tofu Tacos | Holy Cow! Vegan Recipes,"Delicious, sweet-salty-spicy-sour vegan Curry-Glazed Carrot Tofu Tacos.The filling is gluten-free and can be served with gluten-free tacos."
url226,https://holycowvegan.net/curry-roasted-cauliflower-and-potatoes/,2.1,807,455,0.266,0.266,2019-08-28T10:31:58,2019-08-28T10:31:58,2019-08-28T13:24:48,love - red - potatoes - roasted - curry - recipe - youll - dish - oven - cauliflower,Curry Roasted Cauliflower and Potatoes | Holy Cow! Vegan Recipes,"A delicious side of Curry Roasted Cauliflower and Potatoes with the flavors of coriander, cumin, red pepper flakes, turmeric. Nut-free, gluten-free."
url227,https://holycowvegan.net/cute-alert/,1.9,415,404,11.266,11.266,2008-08-30T03:48:00,2008-08-30T03:48:00,2008-08-30T03:48:00,loves - alert - opie - whats - pubm - cute - recipes - kids - pictures - camera - beautiful - picture,Cute Alert! | Holy Cow! Vegan Recipes,No meta description found.
url228,https://holycowvegan.net/cutie-pie/,1.9,421,405,11.901,11.901,2008-01-11T23:05:00,2008-01-11T23:05:00,2008-01-11T23:05:00,dogs - catnip - little - pubm - favorite - pie - rub - recipes - place - cutie - seat,Cutie Pie | Holy Cow! Vegan Recipes,No meta description found.
url229,https://holycowvegan.net/dal-bukhara/,3.0,653,631,4.863,0.921,2015-01-23T08:00:40,2015-01-23T08:00:40,2019-01-01T17:23:30,add - tsp - tbsp - vegan - holy - coriander - restaurant - cow - cumin - recipes - tomato - dal - cook,Dal Bukhara Recipe | Holy Cow! Vegan Recipes,"A vegan -- and quicker -- version of the creamy, slow-cooked Dal Bukhara. A vegan, soy-free, nut-free and gluten-free recipe."
url230,https://holycowvegan.net/dal-makhani-2/,3.1,1115,655,3.452,0.038,2016-06-21T08:00:18,2016-06-21T08:00:18,2019-11-19T20:42:23,urn - vegan - makhani - things - king - milk - woman - recipes - dal - ive - past,Vegan dal makhani | Holy Cow! Vegan Recipes,"Vegan Dal Makhani is a delicious, sumptuous dairy-free version of this classic North Indian style dal made with spices and tomatoes. With rice and pickles."
url231,https://holycowvegan.net/dal-tadka/,3.9,841,836,3.989,0.378,2015-12-08T08:00:09,2015-12-08T08:00:09,2019-07-18T20:57:41,lentils - tadka - add - tsp - vegan - g - holy - cow - recipes - dal - dish - garlic - cook,Dal Tadka Recipe | Holy Cow! Vegan Recipes,"Dal Tadka is a simple and tasty dal or dahl recipe of lentils tempered with mustard seeds, mango powder and garlic. Serve this with rice or rotis."
url232,https://holycowvegan.net/dal-with-collard-greens/,2.2,842,460,2.57,0.249,2017-05-09T10:00:17,2017-05-09T10:00:17,2019-09-03T16:16:27,way - lentils - art - wine - collard - greens - dal - recipe - collards - beautiful - tasty,Dal (Lentils) with Collard Greens | Holy Cow! Vegan Recipes,"A tasty and nutritious dal with collard greens, very simply and subtly spiced with coriander seed, cumin, and Kashmiri chilies."
url233,https://holycowvegan.net/dalitoy/,1.8,411,392,8.644,2.63,2011-04-14T11:51:00,2011-04-14T11:51:00,2017-04-17T18:23:54,leaves - tsp - red - mustard - dalitoy - recipe - shreds - recipes - dal - mins,Dalitoy | Holy Cow! Vegan Recipes,Dalitoy is a simple and easy to make dal served in India's Konkani kitchens. This recipe is exactly as my mom would make it.
url234,https://holycowvegan.net/date-lime-muffins/,1.3,533,278,5.332,0.904,2014-08-05T08:00:20,2014-08-05T08:00:20,2019-01-07T18:10:53,add - added - didnt - fats - wheat - seeds - healthy - pumpkin - muffins - date - lime,Date and Lime Muffins - Holy Cow! Vegan Recipes,"These Date and Lime Muffins are fat-free, except for some healthy fats from flaxmeal and pumpkin seeds, and whole-wheat. Kids'll love them."
url235,https://holycowvegan.net/deliciously-healthy-bottle-gourd-subzi/,2.7,569,564,11.792,0.567,2008-02-20T05:03:00,2008-02-20T05:03:00,2019-05-10T13:49:03,subzi - indian - tsp - tbsp - thats - dudhi - recipe - bottle - gourd - stir - sharon - cook,Bottle Gourd (Dudhi) Subzi | Holy Cow! Vegan Recipes,No meta description found.
url236,https://holycowvegan.net/desserts/,0.2,57,39,0,0,None,Not found = first published time,Not found = last updated time,way - indian - sweet - ingredients - vegan - holy - nuts - minutes - cow - recipes - read - version - perfect,Vegan Desserts - Holy Cow! Vegan Recipes,"Popular vegan desserts, all eggless and dairyfree, including pies, cakes, cupcakes, cookies, muffins, cobblers and more. Gluten-free, nut-free and soy-free options."
url237,https://holycowvegan.net/detoxing-turmeric-ginger-miso-soup/,3.5,734,732,3.011,2.151,2016-11-29T13:59:00,2016-11-29T13:59:00,2017-10-09T20:00:35,soup - dashi - tbsp - lighthouse - detox - turmeric - stock - ginger - tofu - water - miso,Detox Turmeric Ginger Miso Soup | Holy Cow! Vegan Recipes,"A cleansing, detoxifying turmeric ginger miso soup with tofu and carrots. Use dashi or vegetable stock as a base, although water is fine too."
url238,https://holycowvegan.net/dhabay-ki-daal/,3.5,758,748,6.474,0.085,2013-06-14T12:00:00,2013-06-14T12:00:00,2019-11-02T20:29:25,add - water - dhabay - tsp - vegan - cook - rajma - ki - dal - dish - butter - daal,Dhabay ki Daal - Holy Cow! Vegan Recipes,"A recipe for a delicious Dhabay ki Daal, a dal typically served at dhabas, north India's greasy spoons. This is a decadent-tasting yet healthy recipe."
url239,https://holycowvegan.net/diy-spice-mixes/,16.2,3985,3436,6.074,0.518,2013-11-07T18:28:09,2013-11-07T18:28:09,2019-05-28T11:17:01,calories - tsp - tbsp - ingredients - vegan - g - spice - holy - cow - recipes - kcal - servings - mg,Homemade spice mixes - Holy Cow! Vegan Recipes,"Recipes for some of the most commonly used spice mixes, or masalas, in Indian and global cuisine."
url240,https://holycowvegan.net/doodhi-halwa/,3.2,682,675,9.693,0.567,2010-03-27T13:41:00,2010-03-27T13:41:00,2019-05-10T13:50:23,almond - indian - vegan - oil - heat - milk - halwa - turn - pedha - doodhi,Doodhi Halwa | Holy Cow! Vegan Recipes,"A vegan recipe for Doodhi Halwa, a popular Indian sweet. This version, made with almond milk, is as delicious as the original."
url241,https://holycowvegan.net/dosa-crispy-lentil-and-rice-crepes/,1.1,622,226,11.293,0.553,2008-08-20T02:55:00,2008-08-20T02:55:00,2019-05-15T20:18:33,recently - indian - batter - paddu - went - vegan - dosas - used - holy - recipe - dosa - wet - cow - recipes - rice,The Best Dosa Recipe - Holy Cow! Vegan Indian Recipes,"The best and foolproof recipe for dosa, a rice and lentil crepe. This recipe comes from my Tamil sis-in-law, Padmavathy. It is healthy and gluten-free."
url242,https://holycowvegan.net/dosa-spring-roll/,3.4,729,725,5.274,2.688,2014-08-26T08:00:56,2014-08-26T08:00:56,2017-03-27T11:28:15,add - roll - stuffing - recipe - dosa - onions - rice - cut - indochinese - spring,Dosa Spring Roll | Holy Cow! Vegan Recipes,"Dosa Spring Roll is an Indo-Chinese fusion recipe, made of a crispy, crepe-like dosa stuffed with a spring roll filling. This is a gluten-free recipe."
url243,https://holycowvegan.net/double-chocolate-berry-muffins/,3.5,762,739,6.31,0.904,2013-08-13T12:00:00,2013-08-13T12:00:00,2019-01-07T20:20:31,berries - vegan - double - berry - muffin - recipe - little - recipes - muffins - chocolate - cup,Vegan Double Chocolate Berry Muffins | Holy Cow! Vegan Recipes,"These vegan Double Chocolate Berry Muffins are intensely chocolatey with juicy little pockets of berries. They are wholegrain, low-fat, soy-free, nut-free."
url244,https://holycowvegan.net/easy-aloo-matar/,2.3,812,494,0.362,0.274,2019-07-24T09:46:58,2019-07-24T09:46:58,2019-08-25T21:28:20,aloo - add - peas - sauce - onion - easy - serve - potatoes - basic - tomato - matar,Easy Aloo Matar | Holy Cow! Vegan Recipes,"A tasty, saucy bowl of Aloo Matar that comes together in minutes with the basic tomato onion sauce. Vegan, gluten-free, soy-free and nut-free recipe."
url245,https://holycowvegan.net/easy-aloo-palak-a-spinach-and-potato-curry-with-basic-tomato-onion-sauce/,4.1,933,876,0.625,0.274,2019-04-19T09:00:05,2019-04-19T09:00:05,2019-08-25T21:26:57,aloo - add - potato - sauce - saag - onion - easy - curry - recipe - spinach - basic - vegan - tomato - palak,"Easy Aloo Palak or Saag Aloo, a spinach and potato curry (with basic tomato onion sauce) | Holy Cow! Vegan Recipes","A delicious and healthy recipe for Aloo Palak or Saag Aloo, a spinach and potato curry, made in under 20 minutes with the basic tomato onion sauce."
url246,https://holycowvegan.net/easy-aloo-paratha/,5.1,1084,1090,2.759,0.167,2017-03-01T13:43:53,2017-03-01T13:43:53,2019-10-03T17:44:53,aloo - dough - tsp - parathas - roll - potatoes - stuffing - easy - paratha - foolproof - sourdough - version - starter,"Easy Aloo Paratha, the foolproof version | Holy Cow! Vegan Recipes","An easy Aloo Paratha, a flaky, whole-wheat Indian flatbread with a delicious stuffing of potatoes and spices like ginger, turmeric, and cayenne."
url247,https://holycowvegan.net/easy-bean-sprouts-curry/,4.0,859,838,3.233,0.351,2016-09-09T09:00:38,2016-09-09T09:00:38,2019-07-28T21:22:09,indian - bean - easy - curry - foods - sprouted - mung - beans - sprouts - bacteria - eat,Easy Bean Sprouts Curry | Holy Cow! Vegan Recipes,"A healthy bean sprout curry, or usal, cooked traditionally in Indian homes. Make this with matki or moth beans, or with mung beans."
url248,https://holycowvegan.net/easy-brussels-sprouts-stew/,3.7,785,784,3.195,1.586,2016-09-23T09:00:25,2016-09-23T09:00:25,2018-05-03T22:22:47,add - leaves - tsp - coconut - easy - curry - recipe - brussels - stew - sprouts,Easy Brussels Sprouts Stew | Holy Cow! Vegan Recipes,A tasty and easy Brussels sprouts stew with creamy coconut milk and cashew nuts. This is an easy weeknight recipe and a family favorite.
url249,https://holycowvegan.net/easy-but-spectacular-roasted-potatoes/,2.2,473,467,11.86,0.493,2008-01-26T03:09:00,2008-01-26T03:09:00,2019-06-06T09:54:47,ovenroasted - calories - tsp - g - potatoes - roasted - easy - cilantro - recipes - serving - lemon - mins - oven,Easy Oven Roasted Potatoes - Holy Cow! Vegan Recipes,A recipe for easy oven-roasted potatoes seasoned with lime and cilantro. This is a great recipe to satisfy your spud craving without the extra calories.
url250,https://holycowvegan.net/easy-mango-chipotle-glazed-tofu/,3.9,852,825,0.932,0.299,2018-12-28T09:00:36,2018-12-28T09:00:36,2019-08-16T09:30:59,way - glazed - glaze - ingredients - easy - chipotle - mango - recipe - tofu - better,Easy Mango Chipotle Glazed Tofu | Holy Cow! Vegan Recipes,"This Easy Mango Chipotle Glazed Tofu is a tasty and simple finger food. Eight ingredients, and under 20 minutes. A vegan, nut-free and gluten-free recipe."
url251,https://holycowvegan.net/easy-pepper-mushroom-stir-fry/,4.1,860,864,9.816,0.575,2010-02-10T14:20:00,2010-02-10T14:20:00,2019-05-07T12:20:56,tsp - animals - vegan - meat - g - holy - stirfry - cow - recipes - peppers - raised - salt - pepper,Mushroom Stir Fry - Holy Cow! Vegan Recipes,A recipe for a peppery and flavorful Mushroom Stir Fry. Add bell peppers for some extra deliciousness.
url252,https://holycowvegan.net/easy-spicy-potato-curry/,4.3,903,911,0.392,0.384,2019-07-13T09:00:29,2019-07-13T09:00:29,2019-07-16T18:20:54,spicy - add - tsp - red - potato - potatoes - serve - easy - curry - g - minutes,"Easy, Spicy Potato Curry | Holy Cow! Vegan Recipes","This spicy Indian potato curry takes under 30 minutes. Serve it with khichdi, pulao, roti or naan for a tasty meal. Vegan, gluten-free, soy-free, nut-free."
url253,https://holycowvegan.net/easy-thai-yellow-curry-with-beans-and-veggies/,3.6,780,765,4.671,0.351,2015-04-03T08:00:33,2015-04-03T08:00:33,2019-07-28T21:17:32,red - tbsp - vegan - coconut - curry - paste - holy - yellow - thai - recipe - cow - recipes - veggies,Thai Yellow Curry - Holy Cow! Vegan Recipes,A delicious and extremely easy and healthy Thai Yellow Curry with beans and veggies. This comes together in under 30 minutes and is family-friendly.
url254,https://holycowvegan.net/easy-vegan-buttermilk-drop-biscuits/,3.3,737,690,1.501,0.022,2018-06-03T08:00:40,2018-06-03T08:00:40,2019-11-25T16:12:31,theyre - tsp - buttermilk - vegan - g - breakfast - easy - biscuits - minutes - recipe - drop - gravy - baking,Easy Vegan Buttermilk Drop Biscuits | Holy Cow! Vegan Recipes,"These easy vegan Buttermilk Drop Biscuits take just minutes to pull together, and they're perfect for those times you want an indulgent yet quick breakfast. All you need to serve them is some jam. Or smother them in gravy. A vegan, soy-free and nut-free recipe."
url255,https://holycowvegan.net/easy-vegan-butternut-squash-gratin/,1.2,663,253,0.044,0.041,2019-11-17T10:35:51,2019-11-17T10:35:51,2019-11-18T13:53:02,really - butternut - soyfree - vegan - pull - easy - recipe - simple - dish - squash - skillet - gratin,Easy Vegan Butternut Squash Gratin | Holy Cow! Vegan Recipes,"An easy vegan Butternut Squash Gratin with creamy, nutmeg-flavored coconut milk smothered under a savory breadcrumb-cheese-herb mix. Nut-free, soy-free."
url256,https://holycowvegan.net/easy-vegan-chickn-curry-with-potatoes-and-coconut-milk-one-pot-30-minutes/,2.5,1090,531,0.29,0.121,2019-08-19T10:12:08,2019-08-19T10:12:08,2019-10-20T19:27:37,30minutes - vegan - potatoes - coconut - easy - onepot - curry - recipe - sauce - meat - tomato - milk - chickn,"Easy Vegan Chick'n Curry with Potatoes and Coconut Milk | One-Pot, 30-Minutes | Holy Cow! Vegan Recipes","A delicious and easy vegan chick'n curry with potatoes and coconut milk that's entirely chicken free. Instructions here are from scratch, but you can make this 30-minute recipe even quicker if you have my basic tomato onion sauce on hand."
